,a,v(6),v(12),v(24),v(48),t,sv,sz,st,run,subj_idx
17,2.3901750487544935,0.8776793877356572,1.5278589438751768,2.4496188278784667,4.230985791657847,0.3519945428876256,0.910264004024572,0.17751345758932788,0.19467293456704918,1,340
18,4.137741460558573,0.44705734452089085,0.94172103620401,1.8692649557512457,2.7638010583059307,0.5855908057804039,0.7284885053986875,0.7756316851238275,0.0001009567825001694,0,365
19,4.139215888629581,0.5128472216216934,0.7764414289395876,1.7706280294819485,2.2731099665450127,0.32876097196448756,0.7985065845655372,2.3536004907283997e-06,0.00038936027857164015,1,365
20,3.3261010762135284,1.8208187866512577,2.4132603176170817,4.149081579140959,5.330485311960907,0.6903278727571219,2.963427485832726,0.9864179090894233,0.2136437314364209,0,366
21,1.9881157645176557,0.441451211371102,1.1084119259378484,1.4265287371031186,1.6574982763205748,0.5422391805558553,0.21444106017699546,0.0015451190912819759,0.14046847537151508,1,366
22,1.8633130059860241,0.13741166798354593,1.4651865598843374,1.9670490091598136,2.2658922917505153,0.3613834895397162,0.9413656446919292,5.953139923521325e-06,0.24463592122849975,0,375
23,1.77586836771075,0.20037747680870915,0.8439055353628029,2.0320298816831985,4.060419716631804,0.446845167226151,0.14399754174998358,0.512996396086517,0.41834151405293596,1,375
24,1.6201853902321928,1.2739848721524112,1.7233843067482628,3.078544640435033,4.578026156683304,0.38580744969077396,1.5765786642235313,0.3646494843738987,0.21851436184665857,0,509
25,1.5601128087754812,0.7742314560788588,1.6130340135550145,2.3513059363188353,4.281131577942538,0.37394372188269265,1.8747219195295606,0.4281692238108116,0.2634156229395102,1,509
26,1.8781012739482987,0.3146260691328438,0.8929354412443276,2.096735830061533,2.353593866700786,0.5730358597162211,0.6312418848749668,0.7207353856652017,0.4120718558233204,0,578
27,2.073938862018973,0.3985580636189447,0.7260507273790113,1.0510736225799955,1.5168653894461155,0.41698081642554136,1.1174527998875243e-13,0.14661234024025585,0.3541141515116854,1,578
28,4.297673646086648,-1.5950893621269655,0.44060861066488605,3.239735330891008,1.255039714172732,0.6531661689226407,7.932179727111491,0.9929299761513901,0.6219023934303604,0,618
29,1.9606129783186568,0.11859865104808646,0.18142227398832972,0.234261684478613,-0.28972294717294816,0.41245379785902175,0.680040310825303,0.019166554684827627,0.6096944720643169,1,618
30,2.998067596807334,1.034547042863177,0.3278512650592929,0.5337646488379123,1.1628600300307264,0.4348027982943931,1.0065528808379138,0.6222001462881779,0.7046534145907705,0,631
31,2.7382060649336633,-0.14078194341750527,1.0945306611099082,0.9485607702989447,1.086889337250851,0.322690886387637,0.25285856219744823,0.7235824531012938,0.00012324639067516185,1,631
32,4.383373269470843,0.6380341691993551,0.6909521967256086,2.429468237308356,1.0173833277877529,0.23405984094864413,8.519167182595179e-09,0.7788777813924335,0.24831760035297185,0,640
33,3.6913830917770523,0.49951069541894033,0.8039310228433977,0.85935436513792,2.2442577504089614,0.37261745034142973,0.06019038757852467,0.7881495180423943,0.19940478597659017,1,640
34,3.431504388615833,0.41042419880049147,0.38059921062800794,1.2170157276788292,1.439886131036072,0.32272879558096945,0.7440691309504642,0.6960702841539361,6.98415790557739e-11,0,642
35,2.5082388117001244,0.06879098225143035,0.5323651149564375,0.9028767729511918,1.275439559627482,0.5154273936433948,0.47691467422320283,0.7058962717043864,0.823455200023306,1,642
36,1.9296139192743538,-0.17185205727867167,0.814832936507266,1.2371366301191888,0.8401025829739343,0.5948488116737299,0.2982467861924729,0.9316211613827946,0.4849868469141611,0,702
37,1.8558754842968415,0.7046669241706167,0.9016082345634516,1.2412029159656375,0.9807923653125608,0.6512973260358753,0.5157239785510301,0.9123909308513457,0.5670412393896702,1,702
38,2.792372698283009,0.06881905377896382,0.41805528269549785,1.2889600798253025,0.5534749866765611,0.469524965571999,2.2435744555422317,0.0004302989135821011,0.7046955557316895,0,724
39,2.769143663886383,0.4650214222615171,0.03461649807936807,0.5398603972949586,0.6865002635578842,0.5462999835786381,2.165623626441049,0.228975554362683,0.8664578111873777,1,724
40,2.5885296796877304,-0.12132281223670952,1.3414727428598412,1.4030811482695782,1.2066037142177275,0.8424430608345883,1.0589467795190057,0.4090087527458782,1.2333706072027781,0,748
41,3.169525801345128,2.287135289110761,2.5190371506177254,5.595144556491405,2.7400887845583393,1.3400607386612273,4.266814956902654,0.9649617074618769,2.136982886173359,1,748
42,3.6982923229058193,0.7388851147818247,0.8781688663843923,1.7711415213431303,2.576284317103595,0.9467870867559878,0.26849143208255427,0.5989611652071115,2.680895866202309e-15,0,749
43,2.8865119372356443,0.6125947154533993,0.8170070145577034,2.107939647024155,2.8639446811576583,1.176952287513185,0.5663111985344149,0.0016240939971298813,1.2485070904474145,1,749
44,2.3157485603192827,0.48552188090990267,2.218969369170842,2.6396414413190796,3.196848660883242,0.7014814662997998,1.4190065345282061,0.7323640966342265,0.5521999327134594,0,754
45,2.0103002266113257,0.15386380229729404,0.29843955665710736,1.6280819317906698,2.8929913056519396,0.5620495465498692,1.3106290461585501,5.156079570400384e-08,0.2898364557360731,1,754
46,3.3350793837057657,0.3806343445289765,1.1656040015332851,1.6052299913399812,1.4592000754743528,0.890450077592169,2.1963822027750255,0.6723531676920902,1.6808837358795514,0,797
47,3.0784668747148616,0.9584007046943008,0.6296736783112882,0.3862997833213638,0.2664126031945341,0.5103078959233576,0.7586638159182272,0.530349199736792,0.2391980068996479,1,797
48,3.767052427860519,1.0030379492804984,0.8871544080339603,1.358284707661389,1.8139215109027953,0.5864316353235541,1.4219116956913072,0.8295847666820267,0.33145923527423327,0,830
49,3.93965022385192,0.5163221436483506,1.7406585633020564,1.844085225175881,2.886633676468522,0.46544886702183885,2.0418982339310285,0.02276443160645882,0.5702483660034298,1,830
50,1.9525290576044374,0.18010202612346676,0.3204197985031708,1.0613357509260297,1.2186195563489415,0.5159965801912199,6.095990881172661e-08,0.31287578099864644,0.8135946751183174,0,846
51,5.0954450136282565,0.8213030239887509,1.3970752861800442,7.295539945026922,6.173215105243983,0.5865395697585435,5.544446216153135,0.7928007114071439,0.6510786220523435,1,846
52,3.0887718209678745,-0.4368853061147528,0.5887788315867424,0.3311763132733537,0.8247751310781066,0.5411332895779857,1.8853214043054902,1.9089792821474132e-09,0.947423372827829,0,860
53,2.8015875012786275,0.2721205553568962,1.2220093651155253,3.125738611838031,3.5744918377233583,1.0162421489447637,2.8582619014586905,0.24900270818453396,1.5561694135188036,1,860
54,2.1563346948757767,1.7048616664976566,3.120088453992219,4.775590339149053,5.318096531756902,0.7498624614506635,1.486972280217227,1.653904403453866e-07,0.3990691151531524,0,862
55,2.4165395837488646,0.3251653732366023,1.5988717442210294,3.47663381318134,4.812187827613441,0.6214117313261645,1.1570314616687347,4.298615817365795e-06,0.5851502763352352,1,862
56,3.4845020610692483,0.6808513124181921,1.4500803005145575,2.460814795052571,2.9769605166558657,0.26732570960113916,0.9387681936639416,0.4730361677020306,0.22148957900820926,0,876
57,3.2593209326327908,0.25136776360003055,1.0440644156811578,2.4244327924511895,4.0800844255256585,0.2889793059084359,0.590231389307146,0.22310490727438614,0.000392595485143222,1,876
58,2.5799141537272474,-0.2865293677764896,1.0267881121293028,1.5401360340121724,2.009470093334925,0.5882570754680676,1.2472183285468643,0.4965676514761297,0.38894418264734276,0,888
59,3.171376754380372,0.047541659508705474,0.8933073368800237,1.4730228456562635,2.3753168781338045,0.5954094227264095,1.030663232544739,0.7861771712168872,0.5901835726556685,1,888
60,2.797984887368835,0.19276816782697878,0.713163053667944,2.7127235685838613,1.3826832525518737,1.088017145643334,1.3377507993050686,0.3274357093895927,1.280454833730217,0,897
61,3.0003552882789464,0.6617032452098915,1.568043812550511,2.864905227403806,3.3277161265799187,1.1643637768489699,1.99905792859298,0.6717532878602236,1.4161550809817633,1,897
62,2.4070852006167818,1.119390634504209,0.7256490494043584,2.0674981966918025,3.622355758542259,0.49145448883386783,1.1270219555722234,0.6286721543581021,6.487547019582268e-05,0,903
